id,x,y,population,opinion,area,seed_flag,group
92,8,7,1,0.6977455,1.0,0,
93,9,7,1,0.631348,1.0,0,
94,10,7,1,0.5775783,1.0,0,
95,11,7,1,0.44266942,1.0,0,
96,0,8,1,0.74338895,1.0,0,
97,1,8,1,0.6215383,1.0,0,
98,2,8,1,0.37192166,1.0,0,
99,3,8,1,0.3123303,1.0,0,
100,4,8,1,0.24478686,1.0,0,
101,5,8,1,0.35620573,1.0,0,
102,6,8,1,0.7047557,1.0,0,
103,7,8,1,0.63110876,1.0,0,
104,8,8,1,0.599845,1.0,0,
105,9,8,1,0.68630177,1.0,0,
106,10,8,1,0.6685064,1.0,0,
107,11,8,1,0.6611992,1.0,0,
108,0,9,1,0.681908,1.0,0,
109,1,9,1,0.62836075,1.0,0,
110,2,9,1,0.27410823,1.0,1,
111,3,9,1,0.21419013,1.0,0,
112,4,9,1,0.21357827,1.0,0,
113,5,9,1,0.22135867,1.0,0,
114,6,9,1,0.3906783,1.0,0,
115,7,9,1,0.54086286,1.0,0,
116,8,9,1,0.65259385,1.0,0,
117,9,9,1,0.5918978,1.0,1,
118,10,9,1,0.7251656,1.0,0,
119,11,9,1,0.63718015,1.0,0,
120,0,10,1,0.63208175,1.0,0,
121,1,10,1,0.70022833,1.0,0,
122,2,10,1,0.3289858,1.0,0,
123,3,10,1,0.21887933,1.0,0,
124,4,10,1,0.252296,1.0,0,
125,5,10,1,0.32884863,1.0,0,
126,6,10,1,0.47645807,1.0,0,
127,7,10,1,0.59271306,1.0,0,
128,8,10,1,0.7166326,1.0,0,
129,9,10,1,0.67769456,1.0,0,
130,10,10,1,0.7380003,1.0,0,
131,11,10,1,0.6818384,1.0,0,
132,0,11,1,0.6900805,1.0,0,
133,1,11,1,0.74682015,1.0,0,
134,2,11,1,0.4182489,1.0,0,
135,3,11,1,0.2416633,1.0,0,
136,4,11,1,0.30245888,1.0,0,
137,5,11,1,0.5032664,1.0,0,
138,6,11,1,0.39189032,1.0,0,
139,7,11,1,0.657603,1.0,0,
140,8,11,1,0.7369073,1.0,0,
141,9,11,1,0.7379479,1.0,0,
142,10,11,1,0.7627851,1.0,0,
143,11,11,1,0.7450225,1.0,0,
